id;lat;lon
281722289;48.8888996;2.2879510
281722290;48.8910056;2.2873905
281722294;48.8907212;2.2843585
281722297;48.8915611;2.2804078
281722300;48.8933921;2.2821929
281722303;48.8926487;2.2859009
281722307;48.8893665;2.2888759
281722313;48.8917148;2.2867583
281968690;48.9013100;2.2918815
281968771;48.9028328;2.2910991
281968789;48.9038645;2.2944785
281968926;48.9029099;2.2901705
281969003;48.9031048;2.2909582
293272856;48.9040553;2.2824352
293274463;48.9048265;2.2835416
293275423;48.9052741;2.2858500
293275513;48.9051100;2.2854954
293276206;48.9057088;2.2847059
297207214;48.8853730;2.2985384
297208404;48.8829176;2.2993467
303069550;48.8821887;2.2945207
303070078;48.8845463;2.2944085
303073099;48.8858128;2.2930121
303073294;48.8851161;2.2928665
303073601;48.8847671;2.2932945
303073603;48.8850512;2.2938133
303074238;48.8861038;2.2948039
303074688;48.8853932;2.2936887
303078692;48.8867464;2.2995607
303079396;48.8873079;2.3044504
303079595;48.8873557;2.3050212
303290424;48.8948265;2.3064613
303290510;48.8952125;2.3071832
303290628;48.8927805;2.3045949
303290680;48.8917241;2.3057367
303290721;48.8918778;2.3055274
303290738;48.8911366;2.3045071
303290749;48.8925365;2.3041668
303291710;48.8882901;2.3064714
303548818;48.8892621;2.3074147
304995223;48.8985623;2.2692369
304995224;48.8983433;2.2686917
304995947;48.9033778;2.2680237
305178530;48.9025436;2.2686848
305179161;48.9040357;2.2694790
305184414;48.8991940;2.2785357
305184415;48.9016599;2.2758366
305185994;48.9053583;2.2826917
305185995;48.9044433;2.2830030
305189129;48.9004326;2.2832462
305189140;48.8982652;2.2801247
305189147;48.8982123;2.2801837
305189150;48.8993633;2.2834495
305189153;48.8992258;2.2827307
305189157;48.8992560;2.2831234
305189165;48.8984789;2.2808955
305189170;48.8985098;2.2807447
305200117;48.8848243;2.2853799
319152785;48.8838672;2.2823148
319152794;48.8835768;2.2819028
319160990;48.8827409;2.2826136
319710083;48.8890881;2.2931977
319710527;48.8891381;2.2909871
319711501;48.8897448;2.2968470
319713374;48.8943237;2.3046756
319713840;48.8950511;2.3058553
319713975;48.8957748;2.3049231
319714179;48.8983090;2.3021885
338236927;48.9030225;2.2705479
338237984;48.9014103;2.2718716
338239474;48.9016371;2.2747563
338239475;48.9023387;2.2740416
338242209;48.9012433;2.2752669
348768220;48.8940002;2.2897746
348768222;48.8942866;2.2905484
348769218;48.8944585;2.2893796
348769224;48.8947384;2.2901488
348795308;48.8938707;2.2781985
348797250;48.8939218;2.2765819
348797254;48.8938150;2.2771193
348798807;48.8942666;2.2753515
348798810;48.8947000;2.2764123
348799404;48.8953138;2.2742565
348799407;48.8957924;2.2753758
348805919;48.8959614;2.2772378
348805925;48.8963248;2.2781937
348813717;48.8998766;2.2811987
348814609;48.8983582;2.2770551
351124743;48.8926715;2.2801472
351124744;48.8915458;2.2810225
351124745;48.8912929;2.2806899
351126734;48.8962241;2.2839476
351129681;48.8943549;2.2869475
351129882;48.8936261;2.2882185
351130083;48.8921019;2.2846059
351130508;48.8920116;2.2851144
351130773;48.8922099;2.2863043
351130774;48.8925938;2.2872556
351130805;48.8936845;2.2900410
351130806;48.8933594;2.2892052
352693824;48.8913299;2.2807314
352693825;48.8927232;2.2801030
353160292;48.8899349;2.3019006
353161033;48.8883656;2.2990232
353192552;48.8855683;2.2845371
353192561;48.8961183;2.3082598
353192566;48.8900897;2.2956888
353192571;48.8884950;2.2896777
353192572;48.8880674;2.2888612
353192573;48.8879637;2.2885725
353192575;48.8872549;2.2871417
359509128;48.9043298;2.2814116
359509134;48.9036504;2.2801189
359509143;48.9045447;2.2789575
363469004;48.9011772;2.2766769
363574745;48.9029412;2.2745041
363586456;48.9021106;2.2737401
415021470;48.8861818;2.2877104
415022353;48.8855743;2.2891157
415022475;48.8855503;2.2886453
415023543;48.8859348;2.2895031
415031222;48.8844619;2.2871047
415031555;48.8844341;2.2868702
415031817;48.8841903;2.2864818
415032684;48.8841446;2.2861507
415039961;48.8866892;2.2899554
415039983;48.8871977;2.2894708
417162590;48.9063022;2.2884330
417164283;48.9050135;2.2876210
417164284;48.9050956;2.2875436
417164285;48.9052455;2.2875043
417164402;48.9048728;2.2879065
417167283;48.9051973;2.2876199
417167284;48.9051636;2.2876795
417167285;48.9050898;2.2877837
417167286;48.9049971;2.2878475
417167290;48.9049407;2.2878713
417167513;48.9050846;2.2873963
417168141;48.9048444;2.2876689
417169056;48.9050182;2.2879988
417169431;48.9052499;2.2877389
417170734;48.9051334;2.2879828
417171144;48.9048964;2.2874923
417171896;48.9046916;2.2864640
417172006;48.9049806;2.2861665
417172643;48.9055707;2.2872415
417173064;48.9059659;2.2866226
